Country,Code,Category,Year,GDP per capita (2015 US$),GNI per capita (2015 US$),"Services, value added per worker (2015 US$)","Industry, value added per worker (2015 US$)",Consumption expenditure per capita (2015 US$),Government expenditure on education (% of GDP),Literacy rate (% of population 15+),"Educational attainment, upper secondary (% of population 25+)","Educational attainment, Bachelor's (% of population 25+)","Educational attainment, Doctoral (% of population 25+)","CO2 emissions per $ of GDP (kg, 2015 US$)",CO2 emissions per capita (tons),Greenhouse gas emissions per capita (tons of CO2 equiv.),GDP per kg of oil equiv. of energy use (2017 PPP $),Renewable energy consumption (% of energy consumption)
Afghanistan,AFG,economy,1960,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1961,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1962,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1963,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1964,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1965,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1966,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1967,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1968,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1969,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1970,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1971,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1972,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1973,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1974,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1975,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1976,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1977,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1978,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1979,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1980,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1981,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1982,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1983,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1984,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1985,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1986,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1987,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1988,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1989,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1990,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1991,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1992,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1993,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1994,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1995,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1996,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1997,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1998,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,1999,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,2000,,,,,,,,,,,,,,,
